number,lable,name,length,width,height,length/width,height/length,width/height,AvgCurvature,Ellipticity,Sphericity
39,Vignadula_atrata,LYG12,4.802381992,7.811486721,5.507553101,0.614784632,1.14683778,1.418322543,0.121906076,8.03500494,0.817211793
40,Vignadula_atrata,LYG17,6.036252022,7.389550209,6.556579113,0.816863253,1.086200359,1.127043551,0.151002038,7.89970484,0.829336389
41,Vignadula_atrata,LYG2,5.820616007,9.586541653,4.969831228,0.607165359,0.853832519,1.928947124,0.134423597,8.212413592,0.857865262
42,Vignadula_atrata,LYG23,4.862327099,8.639131069,3.78964901,0.562825944,0.779389978,2.279665227,0.133268848,8.089232636,0.831297241
43,Vignadula_atrata,LYG3,5.575051069,9.611251831,4.240214109,0.580054624,0.760569555,2.266690215,0.136244762,8.237314393,0.83529562
44,Vignadula_atrata,LYG4,5.012480021,10.20874405,6.014383078,0.490998696,1.199881706,1.697388397,0.131358151,8.068921446,0.813392707
45,Vignadula_atrata,LYG8,5.017534971,5.95994091,6.517931938,0.84187663,1.299030694,0.9143914,0.165091176,7.96320993,0.811602378
46,Vignadula_atrata,LYGB3,3.209814906,6.666368961,4.394543052,0.481493737,1.369095471,1.516965219,0.121990618,8.01315018,0.88129683
47,Vignadula_atrata,LYGB6,3.954062939,6.879518032,2.951694965,0.574758714,0.746496708,2.330700873,0.126992967,8.147890423,0.819598068
48,Vignadula_atrata,LYGB7,4.138483092,6.001938105,2.641581059,0.689524454,0.638296931,2.272100674,0.138949529,8.042520074,0.833239384
49,Vignadula_atrata,LYGB8,3.27503705,5.533170938,3.624871016,0.591891537,1.106818323,1.526446297,0.159386157,8.032343996,0.831364244
50,Vignadula_atrata,RC1,5.404247165,7.382816076,3.076617002,0.732003494,0.569296131,2.399653928,0.146881804,7.73378138,0.796080304
51,Vignadula_atrata,RC12,4.905718088,7.078078032,3.290699005,0.693086183,0.670788444,2.150934504,0.243045651,7.86775659,0.786121822
52,Vignadula_atrata,RC14,0.052195,0.082229003,0.037832001,0.634751699,0.724820415,2.173530362,0.164770146,7.901900871,0.811117183
53,Vignadula_atrata,RC17,0.041387001,0.078561001,0.053936001,0.526813569,1.303211142,1.456559611,0.1276626,8.06219598,0.799922451
54,Vignadula_atrata,RC2,4.575137019,9.267808914,4.403268099,0.493658972,0.962434148,2.1047569,0.133303466,7.994498101,0.810153029
55,Vignadula_atrata,RC23,5.759840012,9.227818012,3.360764027,0.624182229,0.583482184,2.745750055,0.163074595,7.864338684,0.723887878
56,Vignadula_atrata,RC3,0.049648,0.086897001,0.038074,0.571343079,0.766878824,2.282318672,0.152903537,7.836377635,0.760655247
57,Vignadula_atrata,RC5,5.269582987,8.489295006,3.603934884,0.620732697,0.68391273,2.355562816,0.193654898,7.777402431,0.757558414
58,Vignadula_atrata,RC6,6.09574008,4.88601017,9.72944212,1.247590543,1.596105148,0.502188112,0.147725254,8.127555393,0.758649478
59,Vignadula_atrata,RC7,0.05302,0.082208,0.038211999,0.644949401,0.72070915,2.151366097,0.230415804,7.609408409,0.657504966
60,Vignadula_atrata,RC8,0.052323001,0.054916999,0.076244,0.952765103,1.457179436,0.720279616,0.16083321,7.793611424,0.788091836
61,Vignadula_atrata,RC9,4.953915119,8.169299603,3.529434919,0.606406346,0.712453652,2.314619702,0.133560349,7.881557676,0.754694957
62,Vignadula_atrata,RCB10,3.530118942,6.782296181,2.396167934,0.520490236,0.678778243,2.830476147,0.157269824,8.097058211,0.787153465
63,Vignadula_atrata,RCB11,3.400317907,5.853077173,2.544875026,0.58094534,0.748422675,2.299946801,0.156435108,8.019518471,0.794138627
64,Vignadula_atrata,RCB13,3.313975096,4.912026882,2.201537013,0.674665505,0.664319118,2.231180695,0.142728757,7.813749158,0.832202108
65,Vignadula_atrata,RCB14,2.447833955,5.913256884,3.403717041,0.413956979,1.390501604,1.737293909,0.223590558,7.825406417,0.817723928
66,Vignadula_atrata,RCB15,3.263354063,4.919842958,2.698324919,0.663304518,0.826856316,1.823295232,0.201202434,7.993177801,0.809694633
67,Vignadula_atrata,RCB16,3.602267981,4.955227852,2.239665985,0.726963136,0.621737749,2.212485203,0.149320173,7.834171062,0.817952127
68,Vignadula_atrata,RCB17,2.077900052,5.158537865,3.148753047,0.402807948,1.515353467,1.638279594,0.143287524,7.747165833,0.811479752
69,Vignadula_atrata,RCB18,3.234051853,5.327834845,2.253771067,0.60701053,0.696887734,2.363964523,0.13843087,7.704638871,0.82015972
70,Vignadula_atrata,RCB19,2.802065015,4.808839083,2.412409067,0.582690534,0.860939719,1.993376309,0.181084442,7.80077107,0.857819014
71,Vignadula_atrata,RCB2,2.436897993,5.713028193,2.915907025,0.426551018,1.196565073,1.95926281,0.206615719,8.042850129,0.821959428
72,Vignadula_atrata,RCB20,3.43563807,5.591032028,2.207780004,0.614490858,0.642611346,2.532422623,0.199859672,7.739787859,0.787612991
